phi_deg,theta_deg,C_joint,C_decoupled,delta_C
25.454545,56.842105,0.726955,0.782586,-0.055631
25.454545,61.578947,0.722630,0.782586,-0.059956
25.454545,66.315789,0.718819,0.782586,-0.063767
25.454545,71.052632,0.715775,0.782586,-0.066811
25.454545,75.789474,0.713731,0.782586,-0.068855
25.454545,80.526316,0.712842,0.782586,-0.069744
25.454545,85.263158,0.713165,0.782586,-0.069421
25.454545,90.000000,0.714632,0.782586,-0.067953
27.272727,0.000000,0.783458,0.783458,0.000000
27.272727,4.736842,0.782008,0.783458,-0.001450
27.272727,9.473684,0.779131,0.783458,-0.004327
27.272727,14.210526,0.775133,0.783458,-0.008326
27.272727,18.947368,0.770299,0.783458,-0.013160
27.272727,23.684211,0.764883,0.783458,-0.018575
27.272727,28.421053,0.759120,0.783458,-0.024338
27.272727,33.157895,0.753235,0.783458,-0.030223
27.272727,37.894737,0.747424,0.783458,-0.036035
27.272727,42.631579,0.741829,0.783458,-0.041629
27.272727,47.368421,0.736517,0.783458,-0.046941
27.272727,52.105263,0.731497,0.783458,-0.051962
27.272727,56.842105,0.726774,0.783458,-0.056685
27.272727,61.578947,0.722428,0.783458,-0.061031
27.272727,66.315789,0.718640,0.783458,-0.064818
27.272727,71.052632,0.715653,0.783458,-0.067805
27.272727,75.789474,0.713685,0.783458,-0.069773
27.272727,80.526316,0.712876,0.783458,-0.070582
27.272727,85.263158,0.713275,0.783458,-0.070184
27.272727,90.000000,0.714807,0.783458,-0.068652
29.090909,0.000000,0.783863,0.783863,0.000000
29.090909,4.736842,0.782820,0.783863,-0.001043
29.090909,9.473684,0.780188,0.783863,-0.003675
29.090909,14.210526,0.776273,0.783863,-0.007590
29.090909,18.947368,0.771389,0.783863,-0.012474
29.090909,23.684211,0.765832,0.783863,-0.018031
29.090909,28.421053,0.759876,0.783863,-0.023987
29.090909,33.157895,0.753779,0.783863,-0.030084
29.090909,37.894737,0.747760,0.783863,-0.036103
29.090909,42.631579,0.741978,0.783863,-0.041885
29.090909,47.368421,0.736513,0.783863,-0.047350
29.090909,52.105263,0.731381,0.783863,-0.052482
29.090909,56.842105,0.726595,0.783863,-0.057268
29.090909,61.578947,0.722235,0.783863,-0.061628
29.090909,66.315789,0.718474,0.783863,-0.065389
29.090909,71.052632,0.715544,0.783863,-0.068319
29.090909,75.789474,0.713647,0.783863,-0.070216
29.090909,80.526316,0.712913,0.783863,-0.070950
29.090909,85.263158,0.713381,0.783863,-0.070482
29.090909,90.000000,0.714970,0.783863,-0.068893
30.909091,0.000000,0.783786,0.783786,0.000000
30.909091,4.736842,0.783191,0.783786,-0.000595
30.909091,9.473684,0.780872,0.783786,-0.002914
30.909091,14.210526,0.777115,0.783786,-0.006670
30.909091,18.947368,0.772251,0.783786,-0.011535
30.909091,23.684211,0.766611,0.783786,-0.017174
30.909091,28.421053,0.760511,0.783786,-0.023275
30.909091,33.157895,0.754238,0.783786,-0.029548
30.909091,37.894737,0.748040,0.783786,-0.035746
30.909091,42.631579,0.742092,0.783786,-0.041693
30.909091,47.368421,0.736490,0.783786,-0.047296
30.909091,52.105263,0.731260,0.783786,-0.052526
30.909091,56.842105,0.726421,0.783786,-0.057365
30.909091,61.578947,0.722052,0.783786,-0.061734
30.909091,66.315789,0.718321,0.783786,-0.065465
30.909091,71.052632,0.715446,0.783786,-0.068339
30.909091,75.789474,0.713618,0.783786,-0.070168
30.909091,80.526316,0.712953,0.783786,-0.070833
30.909091,85.263158,0.713482,0.783786,-0.070304
30.909091,90.000000,0.715121,0.783786,-0.068665
32.727273,0.000000,0.783229,0.783229,0.000000
32.727273,4.736842,0.783109,0.783229,-0.000121
