phi_deg,theta_deg,delta_C_avg,delta_C_min
23.636364,14.210526,-0.00918660,-0.04067082
25.454545,14.210526,-0.00886067,-0.03706576
27.272727,14.210526,-0.00832561,-0.03378051
29.090909,14.210526,-0.00758958,-0.03089150
30.909091,14.210526,-0.00667043,-0.02846331
32.727273,14.210526,-0.00559490,-0.02654494
34.545455,14.210526,-0.00439697,-0.02516687
36.363636,14.210526,-0.00311559,-0.02433947
38.181818,14.210526,-0.00179205,-0.02405272
40.000000,14.210526,-0.00046732,-0.02427739
41.818182,14.210526,0.00082031,-0.02496745
43.636364,14.210526,0.00203712,-0.02606342
45.454545,14.210526,0.00315510,-0.02749634
47.272727,14.210526,0.00415261,-0.02919178
49.090909,14.210526,0.00501436,-0.03107377
50.909091,14.210526,0.00573099,-0.03306819
52.727273,14.210526,0.00629836,-0.03413091
54.545455,14.210526,0.00671671,-0.03100549
56.363636,14.210526,0.00698974,-0.02808220
58.181818,14.210526,0.00712374,-0.02535409
60.000000,14.210526,0.00712686,-0.02281069
61.818182,14.210526,0.00700845,-0.02043925
63.636364,14.210526,0.00677853,-0.01822576
65.454545,14.210526,0.00644741,-0.01615575
67.272727,14.210526,0.00602538,-0.01421480
69.090909,14.210526,0.00552251,-0.01238899
70.909091,14.210526,0.00494850,-0.01066513
72.727273,14.210526,0.00431260,-0.00903090
74.545455,14.210526,0.00362357,-0.00747494
76.363636,14.210526,0.00288964,-0.00598684
78.181818,14.210526,0.00211854,-0.00455715
80.000000,14.210526,0.00131750,-0.00317729
81.818182,14.210526,0.00049328,-0.00183952
83.636364,14.210526,-0.00034779,-0.00053685
85.454545,14.210526,-0.00119982,0.00073703
87.272727,14.210526,-0.00205729,0.00198781
89.090909,14.210526,-0.00291503,0.00322066
90.909091,14.210526,-0.00376822,0.00444025
92.727273,14.210526,-0.00461230,0.00565084
94.545455,14.210526,-0.00544303,0.00685634
96.363636,14.210526,-0.00625640,0.00806032
98.181818,14.210526,-0.00704866,0.00926609
100.000000,14.210526,-0.00781627,0.01047669
101.818182,14.210526,-0.00855590,0.01169501
103.636364,14.210526,-0.00926440,0.00996900
105.454545,14.210526,-0.00993883,0.00696992
107.272727,14.210526,-0.01057639,0.00405687
109.090909,14.210526,-0.01117447,0.00124102
110.909091,14.210526,-0.01173059,-0.00146778
112.727273,14.210526,-0.01224243,-0.00406105
114.545455,14.210526,-0.01270781,-0.00653163
116.363636,14.210526,-0.01312468,-0.00887368
118.181818,14.210526,-0.01349112,-0.01108267
120.000000,14.210526,-0.01380536,-0.01315538
121.818182,14.210526,-0.01406573,-0.01508991
123.636364,14.210526,-0.01427071,-0.01688563
125.454545,14.210526,-0.01441889,-0.01854323
127.272727,14.210526,-0.01450899,-0.02006469
129.090909,14.210526,-0.01453988,-0.02145328
130.909091,14.210526,-0.01451057,-0.02271358
132.727273,14.210526,-0.01442019,-0.02385147
134.545455,14.210526,-0.01426804,-0.02487416
136.363636,14.210526,-0.01405361,-0.02579014
